order_id,product_id,sales,quantity,discount,profit
CA-2014-103800,OFF-PA-10000174,16.448,2,"0,2",5.551199999999998
CA-2014-112326,OFF-LA-10003223,11.784,3,"0,2",4.271699999999999
CA-2014-112326,OFF-ST-10002743,272.736,3,"0,2",-64.77480000000001
CA-2014-112326,OFF-BI-10004094,3.539999999999999,2,"0,8",-5.487
CA-2014-141817,OFF-AR-10003478,19.536,3,"0,2",4.884
CA-2014-130813,OFF-PA-10002005,19.44,3,0,9.3312
CA-2014-106054,OFF-AR-10002399,12.78,3,0,5.2398
CA-2014-167199,FUR-CH-10004063,2573.82,9,0,746.4077999999997
CA-2014-167199,OFF-BI-10004632,609.98,2,0,274.491
CA-2014-167199,OFF-AR-10001662,5.48,2,0,1.4796000000000005
CA-2014-167199,TEC-PH-10004977,391.98,2,0,113.67419999999998
CA-2014-167199,TEC-PH-10004539,755.96,4,0,204.1092
CA-2014-167199,OFF-FA-10001883,31.12,4,0,0.3111999999999995
CA-2014-167199,OFF-PA-10000955,6.54,1,0,3.0084
CA-2014-105417,FUR-FU-10004864,76.72800000000001,3,"0,6",-53.70959999999999
CA-2014-105417,OFF-BI-10003708,10.429999999999998,7,"0,8",-18.252500000000005
CA-2014-135405,OFF-AR-10004078,9.344,2,"0,2",1.1679999999999997
CA-2014-135405,TEC-AC-10001266,31.200000000000003,3,"0,2",9.749999999999996
CA-2014-149020,OFF-LA-10004272,2.89,1,0,1.3583
CA-2014-149020,FUR-FU-10000965,51.94,1,0,21.2954
CA-2014-130092,FUR-FU-10000010,9.94,2,0,3.0813999999999995
CA-2014-162775,OFF-EN-10001990,11.36,2,0,5.339199999999999
CA-2014-162775,OFF-EN-10001532,50.94,3,0,25.47
CA-2014-162775,TEC-AC-10003174,646.74,6,0,258.696
CA-2014-162775,OFF-BI-10004187,5.64,3,0,2.7071999999999994
CA-2014-162775,OFF-ST-10000025,572.58,6,0,34.354799999999955
CA-2014-109232,FUR-CH-10000422,545.9399999999999,6,0,87.35040000000004
CA-2014-157147,OFF-ST-10000078,1325.85,5,0,238.6529999999999
CA-2014-157147,FUR-BO-10003034,333.99899999999997,3,"0,15",3.929400000000008
CA-2014-157147,OFF-AR-10003514,19.9,5,0,6.566999999999998
CA-2014-118192,OFF-PA-10002947,37.408,7,"0,2",13.0928
CA-2014-118192,OFF-BI-10003476,3.4380000000000006,2,"0,7",-2.5212000000000003
CA-2014-149524,FUR-BO-10003433,61.96,4,"0,5",-53.28560000000001
CA-2014-103366,TEC-AC-10003628,149.95,5,0,65.97800000000001
CA-2014-115791,FUR-FU-10001095,127.10400000000001,6,"0,2",28.598399999999998
CA-2014-115791,TEC-PH-10004614,124.19999999999999,3,"0,4",-31.05000000000001
CA-2014-115791,OFF-BI-10001575,18.588000000000005,2,"0,7",-13.6312
CA-2014-115791,OFF-LA-10001074,30.072000000000003,3,"0,2",10.149299999999997
